Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-08T00:00+01:00;2022-03-09T00:00+01:00;2022-03-08;3;7206;100,0;24;24;0;3;99,96;7040;163;58;80;11;14;14;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-08T00:00+01:00;2022-03-09T00:00+01:00;2022-03-08;4;6496;100,0;24;24;0;290;95,54;5574;632;198;109;260;65;55;10
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-08T00:00+01:00;2022-03-09T00:00+01:00;2022-03-08;6;3032;100,0;24;24;0;1;99,97;2609;422;101;98;218;5;5;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-08T00:00+01:00;2022-03-09T00:00+01:00;2022-03-08;Totalt i retning Hamna;9531;100,0;24;24;0;28;99,71;9211;292;89;161;20;22;22;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-08T00:00+01:00;2022-03-09T00:00+01:00;2022-03-08;Totalt i retning Langnestunnelen;12218;100,0;24;24;0;357;97,08;10366;1495;345;271;780;99;87;12
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-08T00:00+01:00;2022-03-09T00:00+01:00;2022-03-08;Totalt;21749;100,0;24;24;0;385;98,23;19577;1787;434;432;800;121;109;12
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-09T00:00+01:00;2022-03-10T00:00+01:00;2022-03-09;1;2422;100,0;24;24;0;28;98,84;2181;213;48;144;6;15;15;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-09T00:00+01:00;2022-03-10T00:00+01:00;2022-03-09;2;2589;100,0;24;24;0;60;97,68;2099;430;32;71;297;30;27;3
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-09T00:00+01:00;2022-03-10T00:00+01:00;2022-03-09;3;6976;100,0;24;24;0;2;99,97;6776;198;94;74;16;14;14;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-09T00:00+01:00;2022-03-10T00:00+01:00;2022-03-09;4;6500;100,0;24;24;0;238;96,34;5628;634;214;94;279;47;45;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-09T00:00+01:00;2022-03-10T00:00+01:00;2022-03-09;6;3198;100,0;24;24;0;0;100,00;2673;525;119;188;213;5;5;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-09T00:00+01:00;2022-03-10T00:00+01:00;2022-03-09;Totalt i retning Hamna;9400;100,0;24;24;0;30;99,68;8958;412;142;219;22;29;29;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-09T00:00+01:00;2022-03-10T00:00+01:00;2022-03-09;Totalt i retning Langnestunnelen;12285;100,0;24;24;0;298;97,57;10399;1588;365;352;789;82;77;5
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-09T00:00+01:00;2022-03-10T00:00+01:00;2022-03-09;Totalt;21685;100,0;24;24;0;328;98,49;19357;2000;507;571;811;111;106;5
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-10T00:00+01:00;2022-03-11T00:00+01:00;2022-03-10;1;2360;100,0;24;24;0;25;98,94;2156;179;47;107;11;14;13;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-10T00:00+01:00;2022-03-11T00:00+01:00;2022-03-10;2;2635;100,0;24;24;0;76;97,12;2118;441;40;79;283;39;36;3
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-10T00:00+01:00;2022-03-11T00:00+01:00;2022-03-10;3;7137;100,0;24;24;0;3;99,96;6930;204;94;88;12;10;9;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-10T00:00+01:00;2022-03-11T00:00+01:00;2022-03-10;4;6634;100,0;24;24;0;224;96,62;5728;682;235;122;265;60;53;7
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-10T00:00+01:00;2022-03-11T00:00+01:00;2022-03-10;6;3026;100,0;24;24;0;0;100,00;2562;464;115;125;217;7;7;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-10T00:00+01:00;2022-03-11T00:00+01:00;2022-03-10;Totalt i retning Hamna;9497;100,0;24;24;0;28;99,71;9087;382;140;195;23;24;22;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-10T00:00+01:00;2022-03-11T00:00+01:00;2022-03-10;Totalt i retning Langnestunnelen;12295;100,0;24;24;0;300;97,56;10407;1588;391;326;765;106;96;10
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-10T00:00+01:00;2022-03-11T00:00+01:00;2022-03-10;Totalt;21792;100,0;24;24;0;328;98,49;19494;1970;531;521;788;130;118;12
